rank,name,count
1,AMELIA ,5054
2,OLIVIA ,4938
3,LILY ,4761
4,JESSICA ,3984
5,EMILY ,3974
6,SOPHIE ,3923
7,RUBY ,3702
8,GRACE ,3691
9,AVA ,3621
10,ISABELLA ,3464
11,EVIE ,3385
12,CHLOE ,3347
13,MIA ,3346
14,POPPY ,2932
15,ISLA ,2849
16,ELLA ,2783
17,ISABELLE ,2719
18,SOPHIA ,2661
19,FREYA ,2619
20,DAISY ,2458
21,CHARLOTTE ,2390
22,MAISIE ,2230
23,LUCY ,2228
24,PHOEBE ,2008
25,SCARLETT ,1987
26,HOLLY ,1971
27,LILLY ,1950
28,ELLIE ,1893
29,MEGAN ,1799
30,LAYLA ,1780
31,LOLA ,1777
32,IMOGEN ,1773
33,EVA ,1714
34,SUMMER ,1711
35,MILLIE ,1641
36,SIENNA ,1585
37,ALICE ,1554
38,ABIGAIL ,1493
39,ERIN ,1491
40,LACEY ,1475
41,HANNAH ,1462
42,JASMINE ,1429
43,FLORENCE ,1406
44,ELIZABETH ,1396
45,LEXI ,1324
46,MOLLY ,1322
47,SOFIA ,1249
48,MATILDA ,1225
49,EMMA ,1221
50,BROOKE ,1216
51,AMY ,1213
52,AMBER ,1201
53,GRACIE ,1162
54,AMELIE ,1128
55,ROSIE ,1124
56,LEAH ,1120
57,KATIE ,1105
58,MAYA ,1072
59,ELEANOR ,1049
60,GEORGIA ,1022
61,EMILIA ,1007
62,ELIZA ,955
63,FAITH ,914
64,BETHANY ,913
65,EVELYN ,871
66,ISABEL ,857
67,ANNA ,827
68,HOLLIE ,825
69,BELLA ,823
70,PAIGE ,811
71,HARRIET ,809
72,ESME ,797
73,ZARA ,790
74,LEXIE ,788
75,WILLOW ,772
76,ROSE ,764
77,MADISON ,760
78,JULIA ,759
79,ANNABELLE ,758
80,ISOBEL ,754
81,NIAMH ,733
82,MADDISON ,731
83,MARTHA ,723
84,SKYE ,717
85,LAUREN ,710
86,CAITLIN ,708
87,ELSIE ,699
88,KEIRA ,693
88,REBECCA ,693
90,SARAH ,663
91,HEIDI ,652
92,ZOE ,649
93,MARIA ,628
94,MARYAM ,616
95,AISHA ,613
95,TIA ,613
97,NICOLE ,605
98,KAYLA ,604
99,FRANCESCA ,602
100,LYDIA ,589
